fixture_id,replication,pair_role,expected_class,left,right,observed_statistic,permutation_p_value,null_statistics_path,fixture_seed,residual_seed,evaluation_seed,permutation_seed,profile,elapsed_seconds,warnings,exception_text,residual_sample_path,run_id,gate_result
F1,0,target,null-like,X1,X2,0.06773111218958826,0.75,smoke\null_statistics\F1-replication-0-target.npy,5097350615778718111,16442031850795279104,4962831147454197119,8606196866102111207,smoke,0.2834822000004351,,,smoke\residual_samples\F1-replication-0-target.csv,gate0-20260820-001,READY
F1,0,null_control,null-like,X4,X5,0.08409371672282963,0.2,smoke\null_statistics\F1-replication-0-null_control.npy,5097350615778718111,11997606070422263255,9984015471204184410,12782175466662484475,smoke,0.3084357000007003,,,smoke\residual_samples\F1-replication-0-null_control.csv,gate0-20260820-001,READY
