fixture_id,left,right,phase,batch,replication,observed_statistic,permutation_p_value,residual_samples_path,null_statistics_path,seed_namespace,fixture_seed,residual_seed,permutation_seed,elapsed_seconds,warnings,exception_text,run_id
F5,X1,X2,f5-quadratic-repair,1,8,0.049212179261247394,0.615,residual_samples/batch-1-replication-8.csv,null_statistics/batch-1-replication-8.npy,batch-f5-quadratic-repair,15112139267284926131,83280020480732801,7790181716177336074,0.31461609998950735,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,1,9,0.05725754987749626,0.34,residual_samples/batch-1-replication-9.csv,null_statistics/batch-1-replication-9.npy,batch-f5-quadratic-repair,4464666720343603235,12470470468230721302,14860131863733861327,0.31383249995997176,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,2,0,0.04685937500619707,0.715,residual_samples/batch-2-replication-0.csv,null_statistics/batch-2-replication-0.npy,batch-f5-quadratic-repair,2646579736560144998,5436668978411031619,2927754244359373018,0.31520170002477244,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,2,1,0.0922678851851695,0.01,residual_samples/batch-2-replication-1.csv,null_statistics/batch-2-replication-1.npy,batch-f5-quadratic-repair,1283129034804206189,12082163983488901388,9405725346483722563,0.31424059998244047,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,2,2,0.06695385329219611,0.145,residual_samples/batch-2-replication-2.csv,null_statistics/batch-2-replication-2.npy,batch-f5-quadratic-repair,13140269616693655832,3421297820921342925,11703314591757539391,0.32161000004271045,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,2,3,0.08453465501077227,0.04,residual_samples/batch-2-replication-3.csv,null_statistics/batch-2-replication-3.npy,batch-f5-quadratic-repair,13729081717006252172,7947961837202259495,15671235914452011450,0.3153669000021182,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,2,4,0.05258158009926507,0.485,residual_samples/batch-2-replication-4.csv,null_statistics/batch-2-replication-4.npy,batch-f5-quadratic-repair,9475990186363587352,3474145723013166469,11003143801375950577,0.31847630004631355,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,2,5,0.04557007224552817,0.77,residual_samples/batch-2-replication-5.csv,null_statistics/batch-2-replication-5.npy,batch-f5-quadratic-repair,309984855565509389,5514683614267815904,11697836768591034416,0.3166673999512568,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,2,6,0.04444379861767435,0.88,residual_samples/batch-2-replication-6.csv,null_statistics/batch-2-replication-6.npy,batch-f5-quadratic-repair,7311601948344510345,3721242100628362290,15976131740494536693,0.3159884000197053,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,2,7,0.052840373864856155,0.515,residual_samples/batch-2-replication-7.csv,null_statistics/batch-2-replication-7.npy,batch-f5-quadratic-repair,9177302489356312274,1628010348533844618,3343711881399258537,0.31333099998300895,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,2,8,0.04448591294283207,0.84,residual_samples/batch-2-replication-8.csv,null_statistics/batch-2-replication-8.npy,batch-f5-quadratic-repair,9127796276055649849,16321447012278426136,12166122894297398408,0.3132727000047453,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,2,9,0.06336422555057772,0.205,residual_samples/batch-2-replication-9.csv,null_statistics/batch-2-replication-9.npy,batch-f5-quadratic-repair,3243755387967998228,5230666545342626273,15840060702278165725,0.3091666999971494,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,3,0,0.050318025786130434,0.665,residual_samples/batch-3-replication-0.csv,null_statistics/batch-3-replication-0.npy,batch-f5-quadratic-repair,2971966244765241470,12099133185654962875,16044378196956043490,0.31390909996116534,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,3,1,0.0445760442104611,0.835,residual_samples/batch-3-replication-1.csv,null_statistics/batch-3-replication-1.npy,batch-f5-quadratic-repair,13405901279477398374,16510151820090599440,2467951621633933712,0.31443149998085573,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,3,2,0.04997776193186726,0.65,residual_samples/batch-3-replication-2.csv,null_statistics/batch-3-replication-2.npy,batch-f5-quadratic-repair,10422287130955613914,3742441516097103138,9922374626849612300,0.31624839996220544,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,3,3,0.06848118075592909,0.14,residual_samples/batch-3-replication-3.csv,null_statistics/batch-3-replication-3.npy,batch-f5-quadratic-repair,13336360304868856410,11760233998021048540,13497790434068755675,0.31427580001764,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,3,4,0.04394536529786857,0.93,residual_samples/batch-3-replication-4.csv,null_statistics/batch-3-replication-4.npy,batch-f5-quadratic-repair,14892078498050558370,1800247372734460597,3478371406282393660,0.31427209998946637,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,3,5,0.05807456824837194,0.355,residual_samples/batch-3-replication-5.csv,null_statistics/batch-3-replication-5.npy,batch-f5-quadratic-repair,13494260643178017568,3146049856804567323,433334021841172263,0.31167080003069714,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,3,6,0.06360258075459242,0.175,residual_samples/batch-3-replication-6.csv,null_statistics/batch-3-replication-6.npy,batch-f5-quadratic-repair,12259458806238210330,7460977450770314779,17375473170215664042,0.3168067000224255,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,3,7,0.04732818342786676,0.73,residual_samples/batch-3-replication-7.csv,null_statistics/batch-3-replication-7.npy,batch-f5-quadratic-repair,14382252680675572390,8039791331152447631,6959588285358567069,0.3193914000294171,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,3,8,0.040078250989508915,0.975,residual_samples/batch-3-replication-8.csv,null_statistics/batch-3-replication-8.npy,batch-f5-quadratic-repair,924566998579035470,16865409542120092273,180451809139014143,0.3168298000236973,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,3,9,0.06330769141825271,0.265,residual_samples/batch-3-replication-9.csv,null_statistics/batch-3-replication-9.npy,batch-f5-quadratic-repair,4779431865702269088,1389703025430633061,14990775203888622766,0.31651410000631586,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,4,0,0.05959651749187815,0.29,residual_samples/batch-4-replication-0.csv,null_statistics/batch-4-replication-0.npy,batch-f5-quadratic-repair,1869615075665130790,8640441788223767664,17537970559925174042,0.31714579998515546,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,4,1,0.039317282670342894,0.985,residual_samples/batch-4-replication-1.csv,null_statistics/batch-4-replication-1.npy,batch-f5-quadratic-repair,3249768604643131817,14549318779707405933,10151444863907024212,0.3174360999837518,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,4,2,0.04651275810150686,0.81,residual_samples/batch-4-replication-2.csv,null_statistics/batch-4-replication-2.npy,batch-f5-quadratic-repair,1702023331366443639,7236993710395709767,13177478469826438587,0.31651809997856617,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,4,3,0.04969201165505857,0.64,residual_samples/batch-4-replication-3.csv,null_statistics/batch-4-replication-3.npy,batch-f5-quadratic-repair,18156467779004053273,4929763300420539849,1765521256273931968,0.31440209998982027,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,4,4,0.04661958918440256,0.775,residual_samples/batch-4-replication-4.csv,null_statistics/batch-4-replication-4.npy,batch-f5-quadratic-repair,13672959705702692030,2430872930321513512,856891536213761426,0.31470079999417067,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,4,5,0.04464988809661013,0.825,residual_samples/batch-4-replication-5.csv,null_statistics/batch-4-replication-5.npy,batch-f5-quadratic-repair,9853854258466096256,13374633793024592239,6409986557144861583,0.3186499999719672,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,4,6,0.07050808012860679,0.1,residual_samples/batch-4-replication-6.csv,null_statistics/batch-4-replication-6.npy,batch-f5-quadratic-repair,2978581533554053253,5664933019715727600,10899699362988927810,0.3168584000086412,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,4,7,0.062261378564473495,0.195,residual_samples/batch-4-replication-7.csv,null_statistics/batch-4-replication-7.npy,batch-f5-quadratic-repair,12512464567751876725,11343705244046382339,32437544459733651,0.3159472999977879,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,4,8,0.044590067248796585,0.865,residual_samples/batch-4-replication-8.csv,null_statistics/batch-4-replication-8.npy,batch-f5-quadratic-repair,10377453668242893667,4499809624519497332,11329432425598760261,0.3123337999568321,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,4,9,0.04110923551043043,0.935,residual_samples/batch-4-replication-9.csv,null_statistics/batch-4-replication-9.npy,batch-f5-quadratic-repair,4481065381818030970,5738765394267413646,391746691529143124,0.31580390001181513,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,5,0,0.05165715558352084,0.57,residual_samples/batch-5-replication-0.csv,null_statistics/batch-5-replication-0.npy,batch-f5-quadratic-repair,11892868376474809722,10741074615472936255,2249761004152677211,0.31460969999898225,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,5,1,0.04546536927742348,0.835,residual_samples/batch-5-replication-1.csv,null_statistics/batch-5-replication-1.npy,batch-f5-quadratic-repair,15380366462418916567,9844019138044821851,13247879903122812390,0.314582800026983,,,batch-f5-quadratic-repair-20260824-001
