batch,complete,p_guard_passed,median_dcor,low_p_value_count,null_like,warnings,exceptions
0,True,True,0.04891233743267587,0,True,,
1,True,True,0.0515678142278002,0,True,,
2,True,True,0.05271097698206061,2,True,,
3,True,True,0.05014789385899884,0,True,,
4,True,True,0.046566173642954706,0,True,,
5,True,True,0.054739173203000854,0,True,,
6,True,True,0.05586058021764424,1,True,,
7,True,True,0.052978520717518476,1,True,,
8,True,True,0.05066202978697966,0,True,,
9,True,True,0.04884355548678677,0,True,,
10,True,True,0.05161780065659548,0,True,,
11,True,True,0.0490110714886692,0,True,,
12,True,True,0.050761643175005325,0,True,,
13,True,True,0.053118630296457504,0,True,,
14,True,True,0.05638210801137526,1,True,,
15,True,True,0.052144530381461475,0,True,,
16,True,True,0.05390234356882927,0,True,,
17,True,True,0.06039047244554762,0,False,,
18,True,True,0.047167706942210716,0,True,,
19,True,True,0.05291323358014606,1,True,,
20,True,True,0.053864682676986894,0,True,,
21,True,True,0.04816191968919432,1,True,,
22,True,True,0.05233509577763636,0,True,,
23,True,True,0.05752819910702113,0,True,,
24,True,True,0.05246001813975445,1,True,,
25,True,True,0.050976061064425746,0,True,,
26,True,True,0.05552732492869032,0,True,,
27,True,True,0.055381669054921215,0,True,,
28,True,True,0.04794468636292305,0,True,,
29,True,True,0.049588949645756664,1,True,,
30,True,True,0.05377580989555701,0,True,,
31,True,True,0.05724970584618175,0,True,,
32,True,True,0.056759716837776746,0,True,,
33,True,True,0.05353996910361401,0,True,,
34,True,True,0.05263984508290229,0,True,,
35,True,True,0.05458818063477294,1,True,,
36,True,True,0.05639611724476339,1,True,,
37,True,True,0.051825420211076736,1,True,,
38,True,True,0.05274369054204167,0,True,,
39,True,True,0.04907479680145167,1,True,,
40,True,True,0.04759032623014322,1,True,,
41,True,True,0.052294058539640045,0,True,,
42,True,True,0.045682663943523175,0,True,,
43,True,True,0.058470348961864815,2,False,,
44,True,True,0.051617177387003804,0,True,,
45,True,True,0.048365774692661866,1,True,,
46,True,True,0.054332523400385704,2,True,,
47,True,False,0.06468369559455131,3,False,,
48,True,True,0.05388099004963151,0,True,,
49,True,True,0.0476990190905877,1,True,,
50,True,True,0.050918690184953874,0,True,,
51,True,True,0.04954425181736288,0,True,,
52,True,True,0.05001753890471908,0,True,,
53,True,True,0.049741321935321645,1,True,,
54,True,True,0.05040536572082223,0,True,,
55,True,True,0.05089519983051356,0,True,,
56,True,True,0.05385436873757814,0,True,,
57,True,True,0.05378268468131199,0,True,,
58,True,True,0.05412797517499082,0,True,,
59,True,True,0.060322196269102034,2,False,,
60,True,True,0.05883134689400722,0,False,,
61,True,True,0.058616202089193034,1,False,,
62,True,True,0.05485438264365735,0,True,,
63,True,True,0.04995502835690304,1,True,,
64,True,True,0.05443095093312585,0,True,,
65,True,True,0.055083027242429444,0,True,,
66,True,True,0.06252946694873836,1,False,,
67,True,True,0.05460046139740102,0,True,,
68,True,True,0.05928303108976912,0,False,,
69,True,True,0.04617838759676097,0,True,,
70,True,True,0.05055060685161261,0,True,,
71,True,False,0.056161114684268126,3,False,,
72,True,True,0.05401392007384122,0,True,,
73,True,True,0.049444702563718454,1,True,,
74,True,True,0.05816812774394198,2,True,,
75,True,True,0.04616098064055661,0,True,,
76,True,True,0.04691748690048254,0,True,,
77,True,True,0.0554390851441608,0,True,,
78,True,True,0.04724369108517153,0,True,,
79,True,True,0.05633505245399659,1,True,,
80,True,True,0.05075379025381885,0,True,,
81,True,True,0.05032214261057761,0,True,,
82,True,True,0.05182153056148654,0,True,,
83,True,True,0.0512005400948856,2,True,,
84,True,True,0.049326817535321574,0,True,,
85,True,True,0.05297465778007085,0,True,,
86,True,True,0.052269896218730474,0,True,,
87,True,True,0.05401932707807297,1,True,,
88,True,True,0.044951928766217106,0,True,,
89,True,True,0.05572142251730908,1,True,,
90,True,True,0.05017519763301913,0,True,,
91,True,True,0.051125111865484615,0,True,,
92,True,True,0.05368554113126968,0,True,,
93,True,True,0.050796287103218894,1,True,,
94,True,True,0.05191073916345168,0,True,,
95,True,True,0.06406031919324166,1,False,,
96,True,True,0.05194217874630713,0,True,,
97,True,True,0.04552788823463492,1,True,,
98,True,True,0.048186878904153956,1,True,,
99,True,True,0.05696637857853734,0,True,,
