batch,complete,median_dcor,low_p_value_count,detected,warnings,exceptions
0,True,0.29361460664132955,10,True,,
1,True,0.31738092631456444,10,True,,
2,True,0.29341688150083545,10,True,,
3,True,0.2839503986291825,10,True,,
4,True,0.30603048984367764,10,True,,
5,True,0.3048431907631305,10,True,,
6,True,0.296592750635094,10,True,,
7,True,0.3125775653233752,10,True,,
8,True,0.3001571999343785,10,True,,
9,True,0.2935168491889214,10,True,,
10,True,0.30320514635506307,10,True,,
11,True,0.29997038072691856,10,True,,
12,True,0.3065824932618031,10,True,,
13,True,0.2890787343527885,10,True,,
14,True,0.282213364538375,10,True,,
15,True,0.29891232873401863,10,True,,
16,True,0.2961486432810455,10,True,,
17,True,0.3127222858079219,10,True,,
18,True,0.3138129892643329,10,True,,
19,True,0.3061707518334972,10,True,,
20,True,0.29831377746674725,10,True,,
21,True,0.28210281734363407,10,True,,
22,True,0.29848101122657034,10,True,,
23,True,0.297908027573088,10,True,,
24,True,0.30290505951002755,10,True,,
25,True,0.2894211653348,10,True,,
26,True,0.2920686457915569,10,True,,
27,True,0.2911306671760161,10,True,,
28,True,0.29625839090646094,10,True,,
29,True,0.28131440075451597,10,True,,
30,True,0.3059535306258223,10,True,,
31,True,0.2984193822124553,10,True,,
32,True,0.3082279173268503,10,True,,
33,True,0.31284494344978897,10,True,,
34,True,0.2994536535575889,10,True,,
35,True,0.3010267263150759,10,True,,
36,True,0.31601734388570873,10,True,,
37,True,0.2842846467529877,10,True,,
38,True,0.29977823713140117,10,True,,
39,True,0.28605196769670477,10,True,,
40,True,0.2842319325690844,10,True,,
41,True,0.30012347795537025,10,True,,
42,True,0.30037290508109793,10,True,,
43,True,0.296935394854878,10,True,,
44,True,0.31195691633438394,10,True,,
45,True,0.29226281759573536,10,True,,
46,True,0.3120078138715824,10,True,,
47,True,0.27639180865110147,10,True,,
48,True,0.2997097584085089,10,True,,
49,True,0.283820788667313,10,True,,
50,True,0.28734292719562793,10,True,,
51,True,0.3046101266819846,10,True,,
52,True,0.3128371532111469,10,True,,
53,True,0.30461676813007355,10,True,,
54,True,0.29551715751619856,10,True,,
55,True,0.298406531007921,10,True,,
56,True,0.29998315364392447,10,True,,
57,True,0.2937476612287282,10,True,,
58,True,0.3048293654787752,10,True,,
59,True,0.29747142571343077,10,True,,
60,True,0.31711022317871057,10,True,,
61,True,0.3132248035218936,10,True,,
62,True,0.32127581405884786,10,True,,
63,True,0.285295986696682,10,True,,
64,True,0.3089431842293948,10,True,,
65,True,0.3027451711663087,10,True,,
66,True,0.2991841036362767,10,True,,
67,True,0.2976190016987582,10,True,,
68,True,0.30728565505208505,10,True,,
69,True,0.3049880842791485,10,True,,
70,True,0.2892055211576259,10,True,,
71,True,0.30931855657645946,10,True,,
72,True,0.3035529202390339,10,True,,
73,True,0.3023274259824451,10,True,,
74,True,0.28743083573119305,10,True,,
75,True,0.29804620921206193,10,True,,
76,True,0.28275498309688063,10,True,,
77,True,0.30242343101030367,10,True,,
78,True,0.31551000834420784,10,True,,
79,True,0.3051834616191528,10,True,,
80,True,0.31495126426723374,10,True,,
81,True,0.30449143984824306,10,True,,
82,True,0.29513025428748363,10,True,,
83,True,0.30097469703024493,10,True,,
84,True,0.2818219520943205,10,True,,
85,True,0.3011039296082233,10,True,,
86,True,0.29847591215373664,10,True,,
87,True,0.3121539116711176,10,True,,
88,True,0.2877383128114377,10,True,,
89,True,0.29986696169215576,10,True,,
90,True,0.3207331083962087,10,True,,
91,True,0.2938140038946776,10,True,,
92,True,0.30672373629241584,10,True,,
93,True,0.3044930399844244,10,True,,
94,True,0.2807328772742037,10,True,,
95,True,0.3107149653754541,10,True,,
96,True,0.299123925004003,10,True,,
97,True,0.3069817825243071,10,True,,
98,True,0.2891588228781877,10,True,,
99,True,0.2911570186657368,10,True,,
