batch,complete,median_dcor,low_p_value_count,detected,warnings,exceptions
0,True,0.3191032052299708,10,True,,
1,True,0.31684071482908327,10,True,,
2,True,0.3220131665762539,10,True,,
3,True,0.3182462696725976,10,True,,
4,True,0.31699385123543256,10,True,,
5,True,0.32012376120564895,10,True,,
6,True,0.31074763105849607,10,True,,
7,True,0.30754959979252494,10,True,,
8,True,0.31226155062838945,10,True,,
9,True,0.32013128100167165,10,True,,
10,True,0.3240040990339953,10,True,,
11,True,0.32011267164060375,10,True,,
12,True,0.320340270391862,10,True,,
13,True,0.3208566665488444,10,True,,
14,True,0.3215626233634066,10,True,,
15,True,0.3117053524850329,10,True,,
16,True,0.31572392171279107,10,True,,
17,True,0.32807202497765164,10,True,,
18,True,0.3213527134443489,10,True,,
19,True,0.3180623899436977,10,True,,
20,True,0.31988523298847304,10,True,,
21,True,0.31934103814155235,10,True,,
22,True,0.3164181530684155,10,True,,
23,True,0.32233416100336776,10,True,,
24,True,0.32144312201721525,10,True,,
25,True,0.31978898919569815,10,True,,
26,True,0.3275343225084557,10,True,,
27,True,0.31777178990715504,10,True,,
28,True,0.31581658048747946,10,True,,
29,True,0.3255135618076903,10,True,,
30,True,0.32592764655547946,10,True,,
31,True,0.32180869472030427,10,True,,
32,True,0.33211896297472987,10,True,,
33,True,0.32747819815596196,10,True,,
34,True,0.32999859253256814,10,True,,
35,True,0.3209654567177483,10,True,,
36,True,0.3129810374574794,10,True,,
37,True,0.3253188557258002,10,True,,
38,True,0.3239375456303633,10,True,,
39,True,0.32559508961259825,10,True,,
40,True,0.3197846735468689,10,True,,
41,True,0.31832145028338305,10,True,,
42,True,0.32587593300030215,10,True,,
43,True,0.320138801642446,10,True,,
44,True,0.3208116986190678,10,True,,
45,True,0.3140291414389904,10,True,,
46,True,0.3174683399607812,10,True,,
47,True,0.3148884341830228,10,True,,
48,True,0.312354199479119,10,True,,
49,True,0.3170002104113549,10,True,,
50,True,0.31109745338299577,10,True,,
51,True,0.3264693205775305,10,True,,
52,True,0.31585153235470825,10,True,,
53,True,0.32036770467805387,10,True,,
54,True,0.3210947915989044,10,True,,
55,True,0.32240370252060935,10,True,,
56,True,0.31481183361562726,10,True,,
57,True,0.3179554829936143,10,True,,
58,True,0.32864886025080386,10,True,,
59,True,0.3276120074433212,10,True,,
60,True,0.31584058070744536,10,True,,
61,True,0.3211681230221405,10,True,,
62,True,0.3054448286588177,10,True,,
63,True,0.3207408409652818,10,True,,
64,True,0.3212335999490163,10,True,,
65,True,0.3155435350167361,10,True,,
66,True,0.32742075611327215,10,True,,
67,True,0.3198293719344487,10,True,,
68,True,0.3395636572907472,10,True,,
69,True,0.31787704256959376,10,True,,
70,True,0.31837556795704874,10,True,,
71,True,0.3181087406452,10,True,,
72,True,0.31979244611840096,10,True,,
73,True,0.3185922888360708,10,True,,
74,True,0.3228576602295561,10,True,,
75,True,0.3302188001381614,10,True,,
76,True,0.3317248346304301,10,True,,
77,True,0.32921750205465594,10,True,,
78,True,0.32271275632685426,10,True,,
79,True,0.325917202250105,10,True,,
80,True,0.32420373921970314,10,True,,
81,True,0.3217072809167404,10,True,,
82,True,0.3276342292132779,10,True,,
83,True,0.32106522714808305,10,True,,
84,True,0.31804946794353683,10,True,,
85,True,0.32219389080655014,10,True,,
86,True,0.3167559529952509,10,True,,
87,True,0.32010324512870403,10,True,,
88,True,0.323367287735399,10,True,,
89,True,0.3138018434185027,10,True,,
90,True,0.3206763796913712,10,True,,
91,True,0.3225164197427234,10,True,,
92,True,0.31882812108043257,10,True,,
93,True,0.32192232199616844,10,True,,
94,True,0.31949746401890455,10,True,,
95,True,0.324636516609908,10,True,,
96,True,0.33000447759681817,10,True,,
97,True,0.31864350169480304,10,True,,
98,True,0.3241199956460102,10,True,,
99,True,0.3175511419038151,10,True,,
