batch,complete,median_dcor,low_p_value_count,detected,warnings,exceptions
0,True,0.5329956708934769,10,True,,
1,True,0.5396469920599501,10,True,,
2,True,0.5097797623069047,10,True,,
3,True,0.5302275403998807,10,True,,
4,True,0.5325661126610346,10,True,,
5,True,0.5146355427826809,10,True,,
6,True,0.5241743164231745,10,True,,
7,True,0.5329961989556168,10,True,,
8,True,0.5271544897545758,10,True,,
9,True,0.5204914854912766,10,True,,
10,True,0.525759504231055,10,True,,
11,True,0.5460508728045846,10,True,,
12,True,0.5213601577349058,10,True,,
13,True,0.5252031466232577,10,True,,
14,True,0.5299941848823069,10,True,,
15,True,0.5341249579535581,10,True,,
16,True,0.5467830644277626,10,True,,
17,True,0.5255297993762139,10,True,,
18,True,0.5190907102608582,10,True,,
19,True,0.5187502677537013,10,True,,
20,True,0.5182504712973424,10,True,,
21,True,0.5138619531685572,10,True,,
22,True,0.5341445383000036,10,True,,
23,True,0.5336486145859083,10,True,,
24,True,0.532134008903226,10,True,,
25,True,0.5228680968547834,10,True,,
26,True,0.5269748746624079,10,True,,
27,True,0.519747916118551,10,True,,
28,True,0.5274489084940931,10,True,,
29,True,0.5241589132238607,10,True,,
30,True,0.535463617057393,10,True,,
31,True,0.5422463077076161,10,True,,
32,True,0.5133054243224824,10,True,,
33,True,0.5321230253911549,10,True,,
34,True,0.5197286181295444,10,True,,
35,True,0.52036243874574,10,True,,
36,True,0.5172530301241964,10,True,,
37,True,0.5380156585895307,10,True,,
38,True,0.5310413782029377,10,True,,
39,True,0.5318487171201617,10,True,,
40,True,0.510830123185172,10,True,,
41,True,0.5319291106101516,10,True,,
42,True,0.5286129781696352,10,True,,
43,True,0.5155560922123704,10,True,,
44,True,0.5137028198017259,10,True,,
45,True,0.5278052110086515,10,True,,
46,True,0.5328639304873699,10,True,,
47,True,0.5366920877666619,10,True,,
48,True,0.5234883673353194,10,True,,
49,True,0.5322977403665152,10,True,,
50,True,0.5265675725784341,10,True,,
51,True,0.5320577335267309,10,True,,
52,True,0.5272648650528701,10,True,,
53,True,0.5255860374743953,10,True,,
54,True,0.5220362001728363,10,True,,
55,True,0.5165075592521975,10,True,,
56,True,0.5311114424198382,10,True,,
57,True,0.5248294837487337,10,True,,
58,True,0.5378080425185463,10,True,,
59,True,0.5094456607392226,10,True,,
60,True,0.5134270649550214,10,True,,
61,True,0.5271120267090452,10,True,,
62,True,0.5237654068050581,10,True,,
63,True,0.5218655710374484,10,True,,
64,True,0.53137022170519,10,True,,
65,True,0.5307287370805833,10,True,,
66,True,0.5345892613546668,10,True,,
67,True,0.5441248253378292,10,True,,
68,True,0.5175578734824665,10,True,,
69,True,0.5306097622950203,10,True,,
70,True,0.5214866455607219,10,True,,
71,True,0.5123674919367136,10,True,,
72,True,0.5366259041108927,10,True,,
73,True,0.5440307618810815,10,True,,
74,True,0.5352585650938373,10,True,,
75,True,0.5210928928243185,10,True,,
76,True,0.534104935853455,10,True,,
77,True,0.5298102698061233,10,True,,
78,True,0.509871201016532,10,True,,
79,True,0.518043512372348,10,True,,
80,True,0.5148968498806603,10,True,,
81,True,0.5130449038050067,10,True,,
82,True,0.5404758037558928,10,True,,
83,True,0.5329319985377441,10,True,,
84,True,0.5217697376578331,10,True,,
85,True,0.5162634377845727,10,True,,
86,True,0.5280469474929017,10,True,,
87,True,0.5317428748768641,10,True,,
88,True,0.526565661444597,10,True,,
89,True,0.502054359309106,10,True,,
90,True,0.5398474792435042,10,True,,
91,True,0.5012821239427281,10,True,,
92,True,0.5289258269202883,10,True,,
93,True,0.5277662845007336,10,True,,
94,True,0.5371373347731654,10,True,,
95,True,0.5286569170334987,10,True,,
96,True,0.5393398289413064,10,True,,
97,True,0.5310537161567578,10,True,,
98,True,0.5337761987038557,10,True,,
99,True,0.5327508187246326,10,True,,
