batch,complete,p_guard_passed,median_dcor,low_p_value_count,null_like,warnings,exceptions
0,True,True,0.05475652657406013,0,True,,
1,True,False,0.06412379479840766,3,False,,
2,True,True,0.04837611763188855,1,True,,
3,True,True,0.04820623339918739,0,True,,
4,True,True,0.0510648354673624,0,True,,
5,True,True,0.04830477891053277,1,True,,
6,True,True,0.054609214703001306,0,True,,
7,True,True,0.055023146613464954,1,True,,
8,True,True,0.04934745834399233,0,True,,
9,True,True,0.04982471657108829,0,True,,
10,True,True,0.04720383549767487,0,True,,
11,True,True,0.054062407868693374,1,True,,
12,True,True,0.06117714358829336,2,False,,
13,True,True,0.05586549146390271,1,True,,
14,True,True,0.050674274177197665,0,True,,
15,True,True,0.0563471389909498,0,True,,
16,True,True,0.053216058063205646,0,True,,
17,True,True,0.0581332295981474,2,True,,
18,True,True,0.05428824385895402,1,True,,
19,True,True,0.049260632475326874,0,True,,
20,True,True,0.047985883681972895,0,True,,
21,True,True,0.05377073200089867,0,True,,
22,True,True,0.05162435444602947,0,True,,
23,True,True,0.05596962844286438,0,True,,
24,True,True,0.05556734991450318,0,True,,
25,True,True,0.0584994900094769,0,False,,
26,True,True,0.05923422386944425,2,False,,
27,True,True,0.05308176808796336,1,True,,
28,True,True,0.05563528693096863,1,True,,
29,True,True,0.05498969226230076,0,True,,
30,True,True,0.05540380835299206,1,True,,
31,True,True,0.05193138137353519,0,True,,
32,True,True,0.05347790801324896,0,True,,
33,True,True,0.05307358898222717,2,True,,
34,True,True,0.05732755770159594,1,True,,
35,True,True,0.058769085640527005,1,False,,
36,True,True,0.05974516030856439,2,False,,
37,True,True,0.04954185424622226,0,True,,
38,True,True,0.05497624759220114,0,True,,
39,True,True,0.04833604582911857,1,True,,
40,True,True,0.05495004305976549,1,True,,
41,True,True,0.05246967555801126,0,True,,
42,True,True,0.05458178780907208,0,True,,
43,True,True,0.0525818285052118,0,True,,
44,True,True,0.052810616847442565,0,True,,
45,True,True,0.052830619083519534,1,True,,
46,True,True,0.0556777559786826,2,True,,
47,True,True,0.05465322349343259,0,True,,
48,True,True,0.05531598873976189,0,True,,
49,True,True,0.053300603926077925,0,True,,
50,True,True,0.05565292839713597,0,True,,
51,True,True,0.06237398511821511,0,False,,
52,True,True,0.057127221577975874,1,True,,
53,True,True,0.052656722432221664,0,True,,
54,True,True,0.05324192521887339,1,True,,
55,True,True,0.05250878015059298,0,True,,
56,True,True,0.052238256157233,1,True,,
57,True,True,0.05748142318137976,0,True,,
58,True,True,0.05428387014919398,0,True,,
59,True,True,0.050599358095080614,0,True,,
60,True,True,0.051541551826123695,2,True,,
61,True,True,0.05039510575322858,1,True,,
62,True,True,0.05749398887405184,2,True,,
63,True,True,0.05113638972300612,1,True,,
64,True,True,0.04913791377926603,0,True,,
65,True,True,0.05848664532096784,0,False,,
66,True,True,0.04822194801208441,0,True,,
67,True,True,0.05631941333213657,1,True,,
68,True,True,0.052150377752727906,1,True,,
69,True,True,0.05488965290979576,0,True,,
70,True,False,0.06105172958272843,3,False,,
71,True,True,0.05107646931354409,0,True,,
72,True,True,0.0487760625945375,0,True,,
73,True,True,0.057929917628249034,2,True,,
74,True,True,0.05353878779687592,1,True,,
75,True,True,0.0583467505336193,0,False,,
76,True,True,0.04858976207397342,1,True,,
77,True,True,0.052279543121823396,1,True,,
78,True,True,0.04907481992369456,0,True,,
79,True,True,0.05904463277091147,1,False,,
80,True,True,0.04988116696059164,0,True,,
81,True,True,0.062216033428443174,1,False,,
82,True,True,0.05323400175519853,0,True,,
83,True,True,0.05411901992330931,0,True,,
84,True,True,0.05456983134329074,0,True,,
85,True,True,0.05386120569496929,1,True,,
86,True,True,0.05700215716625792,0,True,,
87,True,True,0.05682477435753222,0,True,,
88,True,True,0.05826080517163823,0,False,,
89,True,True,0.04928824000288817,0,True,,
90,True,True,0.05326483975022622,1,True,,
91,True,True,0.05147039901701418,1,True,,
92,True,True,0.05025575446711324,2,True,,
93,True,True,0.0506407987381431,1,True,,
94,True,True,0.0554152042653283,0,True,,
95,True,True,0.05230718118760714,0,True,,
96,True,True,0.05088752028349598,0,True,,
97,True,True,0.0575012080906355,0,True,,
98,True,True,0.049551831700164056,0,True,,
99,True,True,0.05042398912592605,0,True,,
