batch,complete,median_dcor,low_p_value_count,detected,warnings,exceptions
0,True,0.45202468888213043,10,True,,
1,True,0.4392562988751435,10,True,,
2,True,0.43860053762564555,10,True,,
3,True,0.474512512065406,10,True,,
4,True,0.444815629437015,10,True,,
5,True,0.4617152873783207,10,True,,
6,True,0.4545055576406406,10,True,,
7,True,0.4497701216683424,10,True,,
8,True,0.46403501609986064,10,True,,
9,True,0.446784058766696,10,True,,
10,True,0.4468197931485235,10,True,,
11,True,0.44451990977793165,10,True,,
12,True,0.45633883025358163,10,True,,
13,True,0.45914970381755493,10,True,,
14,True,0.47422923723897403,10,True,,
15,True,0.457260708371397,10,True,,
16,True,0.4523656796350308,10,True,,
17,True,0.4408978949122139,10,True,,
18,True,0.4469135694155263,10,True,,
19,True,0.45672844800635004,10,True,,
20,True,0.44616034975596275,10,True,,
21,True,0.450988743941933,10,True,,
22,True,0.43913691729730964,10,True,,
23,True,0.46066786722702074,10,True,,
24,True,0.4666212842087668,10,True,,
25,True,0.4545546948985868,10,True,,
26,True,0.44386354391613747,10,True,,
27,True,0.45975556696294184,10,True,,
28,True,0.46047247175675654,10,True,,
29,True,0.44353210956148836,10,True,,
30,True,0.45416459001227993,10,True,,
31,True,0.46085342146306396,10,True,,
32,True,0.4448581898057673,10,True,,
33,True,0.47538251940106363,10,True,,
34,True,0.467471392234739,10,True,,
35,True,0.4508828286881982,10,True,,
36,True,0.44780414953180636,10,True,,
37,True,0.4469843028878472,10,True,,
38,True,0.44821285728034,10,True,,
39,True,0.448286441236814,10,True,,
40,True,0.45508896837307355,10,True,,
41,True,0.4626316844176199,10,True,,
42,True,0.45586174303558047,10,True,,
43,True,0.46092155957382863,10,True,,
44,True,0.4350564940885886,10,True,,
45,True,0.46191412499981754,10,True,,
46,True,0.458623814365152,10,True,,
47,True,0.44899909161673207,10,True,,
48,True,0.44304867092817757,10,True,,
49,True,0.4594118143568911,10,True,,
50,True,0.4635254765170197,10,True,,
51,True,0.4365800390895299,10,True,,
52,True,0.4539946706234671,10,True,,
53,True,0.4427821168964867,10,True,,
54,True,0.4518107785979605,10,True,,
55,True,0.45975956224307796,10,True,,
56,True,0.46218283167548757,10,True,,
57,True,0.44488219689886765,10,True,,
58,True,0.4495810657114824,10,True,,
59,True,0.45653139332073245,10,True,,
60,True,0.4579180616740743,10,True,,
61,True,0.45368315097201745,10,True,,
62,True,0.4450288306180302,10,True,,
63,True,0.45377120261947734,10,True,,
64,True,0.4539155551525653,10,True,,
65,True,0.4569605529981543,10,True,,
66,True,0.47497438304479644,10,True,,
67,True,0.456766261736194,10,True,,
68,True,0.45820955420735715,10,True,,
69,True,0.4569420709928747,10,True,,
70,True,0.4519422893718259,10,True,,
71,True,0.4620695853004497,10,True,,
72,True,0.45150701375130775,10,True,,
73,True,0.44731911692932436,10,True,,
74,True,0.4466797018938925,10,True,,
75,True,0.44783561346584333,10,True,,
76,True,0.4646341753750832,10,True,,
77,True,0.45099442674003937,10,True,,
78,True,0.45494506024853015,10,True,,
79,True,0.45347558621099554,10,True,,
80,True,0.4460476932258616,10,True,,
81,True,0.46104563219501216,10,True,,
82,True,0.44445719295701125,10,True,,
83,True,0.4547719742526522,10,True,,
84,True,0.4634531660798867,10,True,,
85,True,0.4626246741215836,10,True,,
86,True,0.45649686446912424,10,True,,
87,True,0.44350049238164757,10,True,,
88,True,0.44327905129345135,10,True,,
89,True,0.4620538421055479,10,True,,
90,True,0.4652218176952322,10,True,,
91,True,0.4526544608299239,10,True,,
92,True,0.4374006621519776,10,True,,
93,True,0.4515864690790656,10,True,,
94,True,0.46667435449029404,10,True,,
95,True,0.45714716343061246,10,True,,
96,True,0.44623674765435506,10,True,,
97,True,0.4399522832568109,10,True,,
98,True,0.462601564833915,10,True,,
99,True,0.4509687133150334,10,True,,
